cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
,987049868,,918334710#3,,,
,667867184,,-23260461#1,,,
,332634094#2,,-170598719#0,,,
,-44883357#1,,-264459825#0,,,
,131025950#2,,-264459843#9,,,
,-45172804#3,,32812356#3,,,
,-131025950#4,,-1039905091#1,,,
,46149190#1,,301494974#0,,,
,45172803#0,,517820536#1,,,
,23704718#2,,237528239#1,,,
,391633685#1,,264459826#0,,,
,354858508#1-AddedOnRampEdge,,-91854868,,,
,354858508#1,,89430680#0,,,
,-23704733#1,,89418359,,,
,45172805#0,,33050418#0,,,
,354858485#2,,34951200,,,
,154125462,,-89420431#1,,,
,-131025946,,517921702#2,,,
,23704733#0,,958537535#4,,,
,46149604#1,,681548654#0,,,
,265010616#1,,258303757#0,,,
,-44838405#1,,-254326623#3,,,
,-131156400#0,,41519045#1,,,
,-131025954#1,,162324884,,,
,-285677614#2,,543054882,,,
,388577161#1,,75259451#11,,,
,651677176,,460851984#4,,,
,45172803#1,,-89419986#4,,,
,-667959153,,48788423#2,,,
,24821261,,-463284095#3,,,
,388577158,,32812356#4,,,
,257239019#0,,542264756#1,,,
,332634091#3,,52517547#2,,,
,266086965,,193618812#10,,,
,266086964,,32130055#1,,,
,198900394#0,,81606325#2,,,
,1117138480#1,,682262115#5,,,
,102519007#0,,292495150#0,,,
,243799234,,332390573#0,,,
,548903448#3,,48391175#4,,,
,1166015108,,328531827#4,,,
,580847350#1,,314210315#2,,,
,131110375,,89418356#0,,,
,-27241668#3,,173022744#0,,,
,-44884663#0,,-46982708,,,
,257239009#1,,395264630#1,,,
,332634094#1,,-89419992#1,,,
,171300262,,178757958#0,,,
,257239015#1,,264459845#2,,,
,173954128#0,,364080011#1,,,
,173954124,,24060958#7,,,
,-131025939#0,,1177605681#2,,,
,265010585#0,,237528239#3,,,
,396771661#4,,-34951210,,,
,-44838841#3,,265221588,,,
,170624721#4,,314210315#0,,,
,131025929#1,,-89418358,,,
,-23488568#0,,264459853#2,,,
,23488568#1,,220470667#0,,,
,296690015,,89430684#3,,,
,388577162#1,,-301494970#1,,,
,23704733#1,,199311795,,,
,131025963#0,,89418354#2,,,
,332634092#3,,-162324885,,,
,-304727992,,264459842#3,,,
,1117138480#0,,-23260462#2,,,
,396771661#3,,-52518334#0,,,
,171300263#0,,-501179305,,,
,24803931#1,,-130453217#3,,,
,24821311#1,,190730289#2,,,
,-44883381#3,,47127860#0,,,
,209366310#1,,648175929,,,
,680781716,,190730289#1,,,
,45177681,,89430681#0,,,
,-23488561#3,,52924701#1,,,
,863546409#1,,55686236#2,,,
,391633685#3,,91854853#1,,,
,59254385,,24024045#13,,,
,131025954#0,,-588307664#1,,,
,998621643#1,,-89828152#0,,,
,1268288170#0,,33640794#0,,,
,1117138479#1,,89182753,,,
,1166015104#0,,89430676#0,,,
,-1027009172#2,,258303757#2,,,
,4853035#0,,33118881#0,,,
,257357820,,72463458#4,,,
,355202491#2,,24060958#0,,,
,285664431#1,,264459819#2,,,
,285664431#0,,24024045#5,,,
,36689410,,244317039#6,,,
,396771661#1,,91705267#0,,,
,269150833#1,,89430678#6,,,
,-23488561#2,,89419986#0,,,
,46149193#3,,72463458#0,,,
,-131025950#0,,24024046#0,,,
,355202491#0,,-91216434#0,,,
,-46149604#0,,-546231958,,,
,717183325,,24989774#0,,,
,257233100,,-170598719#1,,,
,149851229#2-AddedOffRampEdge,,-1039905092#2,,,
,149136361#1,,46982301#5,,,
,511081977#1,,328531828#3,,,
,319196853,,328531782#2,,,
,-23488568#1,,89206666,,,
,44955971#1,,1177605680#4,,,
,-285677614#1,,-89420431#3,,,
,149136360#0,,-164586351,,,
,45172800,,82624905#1,,,
,46149027#1,,574761506,,,
,1027009172#2,,89419202#1,,,
,46149604#0,,33640794#3,,,
,23990057,,458283474#0,,,
,209215786#0,,89430680#1,,,
,257239010#0,,72463603#0,,,
,-269150818#0,,796186460#0,,,
,-269150818#1,,264459825#2,,,
,680781426,,-34951053#2,,,
,46148744,,89419990#1,,,
,44884105#4,,254326637#3,,,
,-1027009173,,32122517#2,,,
,30177142#1,,34950844#0,,,
,-45172804#0,,264459842#6,,,
,171300263#1,,89420435#1,,,
,131025941#0,,41519038#0,,,
,285664427,,-89420436#0,,,
,27241668#2,,543054881,,,
,-211740191,,328531825#3,,,
,-614989353,,33640794#5,,,
,131025954#1,,682262113,,,
,651677178#0,,-23260462#1,,,
,1165717968,,32812366#2,,,
,-44838406,,-459037937#2,,,
,265010617#0,,264459819#4,,,
,45172606#1,,46982270#2,,,
,31237889,,52928549#0,,,
,-23488561#4,,72463851#3,,,
,44883384#0,,34950710,,,
,24053276#1,,-918334710#3,,,
,23704749#1,,89417144#0,,,
,285664437,,1133878592#0,,,
,319196860#0,,89234087#0,,,
,46149193#2,,1156068079,,,
,131025969#1,,161966884,,,
,157345942#1-AddedOnRampEdge,,89240072,,,
,810758264,,-301494974#1,,,
,297648257#1,,-34950844#3,,,
,265010575#1,,-264459826#1,,,
,651637968,,1019987802#0,,,
,-149136360#0,,-55686195#1,,,
,548938581#3,,-588307664#0,,,
,131156400#0,,-463284095#2,,,
,174022683#0,,55686236#4,,,
,257233100-AddedOffRampEdge,,328531802#14,,,
,355202496,,334085546,,,
,131025939#1,,27695695#0,,,
,174022673,,26603888,,,
,1028619496#0,,543023529#1,,,
,131025969#4,,-458673382#2,,,
,170641388#1,,89240074#1,,,
,24803926#0,,48391239#1,,,
,170641388#4,,254326637#1,,,
,1165717969,,75259451#8,,,
,131156028#1,,-264459842#12,,,
,-746064104#0,,-1133878589#2,,,
,23704718#3,,190730289#3,,,
,46149193#0,,33625005#2,,,
,682445838-AddedOffRampEdge,,-89430683#1,,,
,682445838,,34951236#2,,,
,-45174083#1,,89430675,,,
,170641388#3,,199311798#4,,,
,24821288,,-89418356#0,,,
,44883013#2,,543054885#4,,,
,44955796#2,,544270674#2,,,
,-466032168,,-46982284#0,,,
,131025941#2,,24060958#5,,,
,-46149611#0,,-91854872,,,
,45172804#3,,367360994#0,,,
,-511081976#0,,-549451720,,,
,-44883383,,-1021351340#1,,,
,23488561#0,,328531827#2,,,
,23488562#0,,-364080011#2,,,
,228633420#0,,-24060958#7,,,
,22823721#8,,149415594#0,,,
,23990056#0,,-24024046#1,,,
,-46149194#1,,26322270#1,,,
,44838404,,463284093#1,,,
,-746064104#1,,-513567595,,,
,820214408,,463284094#0,,,
,131025963#1,,160745254#0,,,
,22823716#2,,-264459853#3,,,
,1028258369#0,,43550255,,,
,173954121,,-89418364#0,,,
,810346011#2,,23443416#1,,,
,-27241671#0,,52928549#1,,,
,22823718#1,,89420433#1,,,
,22823718#1-AddedOffRampEdge,,34951010#1,,,
,849983642,,264459839#0,,,
,849983642-AddedOffRampEdge,,89419990#2,,,
,-171300268,,458673382#0,,,
,1166015104#3,,173022744#3,,,
,-44838405#4,,541902883,,,
,44838405#4,,458673380,,,
,466032168,,89430678#4,,,
,-23704729,,-47127860#0,,,
,45172807#0,,32122515#1,,,
,171300266,,258303760#1,,,
,-24372978#1,,89419986#1,,,
,548938581#1,,91854884,,,
,265010601,,33050414#0,,,
,426816157,,-328531782#1,,,
,198900387#1,,32812366#0,,,
,355202494,,75259451#6,,,
,760589787#1,,460851984#2,,,
,335539645#0,,89430678#5,,,
,-46149607,,91854870#1,,,
,285677614#2,,48391008#0,,,
,27241668#0,,72463851#0,,,
,-27242140,,-89182753,,,
,131025941#3,,-228056313,,,
,209210742,,-33118881#0,,,
,171300268,,-72463458#4,,,
,46149190#0,,-458283475#2,,,
,267301946#0,,918334710#2,,,
,198900395#1,,254326646#1,,,
,1165717966#1,,199311794#8,,,
,355202503-AddedOnRampEdge,,-72463458#0,,,
,1120579615#0,,82624902,,,
,679785216#3,,41260920,,,
,879498552#3,,264459828,,,
,533909177,,463284093#2,,,
,131025931#0,,-536082140,,,
,131025959#1,,544340291#3,,,
,157296567,,89213772#3,,,
,209215786#1,,33640794#14,,,
,44955976#0,,-264459830,,,
,1029301769,,-23260460#1,,,
,354858508#1-AddedOffRampEdge,,-89419202#1,,,
,-36688988#3,,-91854877#2,,,
,45172802#0,,-72463603#0,,,
,36688988#4,,328531802#3,,,
,1165717970,,-33626801,,,
,350217576#1,,91854839#0,,,
,1117138479#0,,89418354#1,,,
,355202492#2,,89430682#1,,,
,614989353,,-34950844#0,,,
,-31237889,,-264459842#10,,,
,46149615#0,,264459849,,,
,44956024,,264459843#5,,,
,30177142#0,,46982423#2,,,
,853378613#2,,46982301#8,,,
,171300277#0,,31887171#0,,,
,27242140,,463284095#4,,,
,173954122,,-52928549#0,,,
,45170904,,301494973#3,,,
,22823719,,-91854875#0,,,
,44955975#3,,584343267#4,,,
,31237829#3,,89219849,,,
,174022683#1,,-301494971#2,,,
,24372991#3,,-89234087#0,,,
,209366310#0-AddedOnRampEdge,,91017767#1,,,
,209210754#0,,89881818,,,
,987049867,,-364080011#4,,,
,62066585,,-43550256,,,
,548938581#0,,258303757#4,,,
,199152209#3,,683454880,,,
,-31237872,,-161966884,,,
,44883010#2,,89234350#0,,,
,257239021#5,,33625005#0,,,
,157345942#1,,46982270#3,,,
,584188123,,199311782#2,,,
,267301946#1,,-1019987802#2,,,
,354858488#1,,264459843#3,,,
,-285664450,,244317039#12,,,
,-1028689293,,546604219,,,
,46149610#0,,866351232#4,,,
,265010620#0,,546952811,,,
,23704729,,46982274#0,,,
,1165717963#0,,-334085546,,,
,44883011#1,,-264459853#1,,,
,174022636,,-89240074#1,,,
,173954134-AddedOnRampEdge,,544270674#1,,,
,198900395#2,,458673383#0,,,
,44955973,,264459843#11,,,
,-44838405#0,,-75259451#10,,,
,265010616#0-AddedOffRampEdge,,89420433#2,,,
,987135427,,89828152#2,,,
,173954135,,41519038#1,,,
,257357821#0,,-570457257#0,,,
,257357821#2,,41519052,,,
,44955976#3,,43991628#2,,,
,101134273,,264459825#4,,,
,391633685#2,,958537535#0,,,
,27241663,,170598722#0,,,
,171300278#0,,23260461#0,,,
,100226632,,-89430681#1,,,
,100226632-AddedOffRampEdge,,134668783#1,,,
,46149606-AddedOnRampEdge,,89430682#0,,,
,46149606,,85568120#4,,,
,-24372991#3,,1039905091#0,,,
,-131025959#0,,328531827#0,,,
,44955972,,-91854885#1,,,
,651677235,,46982301#4,,,
,285454834#1,,-149415594#1,,,
,23681347,,958537535#1,,,
,4848754-AddedOffRampEdge,,-1127706328#0,,,
,582338491,,682262112#0,,,
,131156055,,89420431#1,,,
,131156052,,-47072157#1,,,
,168573481#1,,173022744#2,,,
,44955796#0,,89418363,,,
,853378613#0,,24024045#6,,,
,4848887,,46982301#0,,,
,405795843#2,,33640794#12,,,
,44838405#0,,-160745254#2,,,
,-27241668#2,,254326623#2,,,
,46151436#1,,280266451#2,,,
,405795843#1,,89210821#0,,,
,44883013#2-AddedOnRampEdge,,-23443416#1,,,
,265010595,,-52928549#1,,,
,171300269,,-264459842#5,,,
,623362974,,89206671#0,,,
,651677225,,32812349#0,,,
,582230759,,89419986#4,,,
,100226630,,89219861#1,,,
,44955975#2,,-458673382#1,,,
,44955970#0,,91854886#0,,,
,4853035#1,,-89418360,,,
,4848754,,24024045#10,,,
,1015165917-AddedOnRampEdge,,32812356#0,,,
,27241664,,328531790#0,,,
,44955977,,427171555,,,
,131156051#0,,328531802#0,,,
,759397447,,89419990#3,,,
,339397020,,254326632#5,,,
,-131025931#0,,-866351232#1,,,
,131156051#0-AddedOnRampEdge,,91854814,,,
,97685638#1,,52517547#0,,,
,-139718208,,89419197,,,
,813418915,,280266451#5,,,
,883261846,,682262619#0,,,
,4848932#7,,-72463458#6,,,
,459561639#0,,1021351340#3,,,
,1181162212,,-543054885#2,,,
,44049166#0,,557375051#1,,,
,904911912,,518843396,,,
,726941894#0,,-89419986#2,,,
,172598640#1,,-918334710#2,,,
,69963032#3,,89196126#1,,,
,4848930#1,,548970510,,,
,580847357#3,,89418358,,,
,151481858,,34950625#1,,,
,150868751#2,,544342030#0,,,
,538982927#2,,543209655#3,,,
,669790924#1,,-47072156,,,
,-139718219#0,,178757945#2,,,
,69963044#4,,89420431#2,,,
,240595362#1,,89240082#2,,,
,1245147126#2,,-82624902,,,
,39629578#1,,301494970#0,,,
,139718225#0,,34951236#0,,,
,97685728#0,,32122518#0,,,
,539237085#1,,-463284093#3,,,
,211732702,,52518334#0,,,
,-88690557#4,,130453217#0,,,
,929013758#0,,277789325#7,,,
,240595364#2,,264459819#1,,,
,40969582,,-736550490#1,,,
,548908713,,543054885#0,,,
,257233103#0,,682262110#0,,,
,139718218#1,,32122515#2,,,
,59263148#1,,31958280#0,,,
,33847144#9,,512747171,,,
,609929519#1,,-91854839#0,,,
,27695604#1,,-264459849,,,
,24487306#0,,89419196#1,,,
,759284949,,-264459845#1,,,
,539237084#2,,-1021351340#2,,,
,33847142#1,,-264459843#5,,,
,879780895#0-AddedOnRampEdge,,544270675#2,,,
,883261847#0,,89828152#0,,,
,759379782#3,,-463284095#4,,,
,1026056857#6,,-576811475#0,,,
,39168852#0,,-686373007,,,
,271720710,,89430677#1,,,
,1070720649,,46982301#2,,,
,97685754#4,,517820536#0,,,
,319196850#5,,-458673382#5,,,
,269150837#2,,544270675#0,,,
,-88690557#0,,46982270#1,,,
,47025799#6,,48391239#0,,,
,95277526#11,,81606324#0,,,
,39629578#6,,-683454880,,,
,151329169#2,,464000322#0,,,
,319195388#2,,-23260460#2,,,
,240595360#2,,-89234350#1,,,
,660972503#0,,580672561,,,
,-968060910#3,,546231958,,,
,929013755#0,,173022744#1,,,
,319196850#3,,-264459843#3,,,
,69963044#1,,34951153#1,,,
,539237086#1,,1039905092#1,,,
,568498791#6,,89213772#5,,,
,172665597#2,,164586351,,,
,-651701877#1,,-91854839#1,,,
,151329188,,-91216434#3,,,
,269150840#1,,33050417,,,
,667962674#0,,301494971#0,,,
,680788592#5,,-264459825#5,,,
,46869642#1,,796186460#1,,,
,43988828#0,,-458673383#0,,,
,667962674#1,,328531828#4,,,
,942581082,,199311757#3,,,
,680788593#0,,34951053#1,,,
,240392370#1,,-89828152#2,,,
,39629431#1,,328531802#5,,,
,319196850#1,,58706164#1,,,
,147812381#0,,33549498#2,,,
,39629550#2,,178757944#1,,,
,-191324188,,178757953,,,
,265068934#1,,458283475#0,,,
,151329179#0,,543023529#0,,,
,240392370#0,,328531790#8,,,
,33847146,,-41519052,,,
,-1181162212,,91854877#0,,,
,1025991802,,23260462#1,,,
,759379782#0,,33549498#0,,,
,964307336,,459037937#0,,,
,922026090#0,,258303757#3,,,
,-22730603#2,,-170598722#0,,,
,33847143#0,,89430677#0,,,
,342481201#10,,-24024046#3,,,
,751229842,,41519038#3,,,
,265068939#2,,149415578,,,
,40969585#1,,134668783#0,,,
,-1245147127#0,,34951236#1,,,
,261065061#0,,89430682#3,,,
,139718218#0,,34950844#2,,,
,922026091,,53208159#0,,,
,-240595359#0,,55686195#0,,,
,44049166#2,,89430685#0,,,
,894991905,,-89419992#0,,,
,-734897654,,463284095#2,,,
,172665593#0,,-458673382#6,,,
,676291217#4,,-89418363,,,
,151329171#0,,544442193,,,
,46869642#2,,199311794#10,,,
,580847357#2,,32122518#2,,,
,45171692,,33625005#3,,,
,879780891#1,,544340291#0,,,
,23705307#0,,280266451#0,,,
,158180857,,34950728#3,,,
,-33847142#3,,-91854811,,,
,-22730603#1,,32122518#1,,,
,139718226#1,,33627771#0,,,
,139718226#0,,244317039#0,,,
,676291217#3,,458673382#2,,,
,46869642#3,,-264459822,,,
,265068937#1,,264459842#11,,,
,95274316#1,,-265271575#1,,,
,854239334#0,,32130422#0,,,
,4848928#2,,1127706328#1,,,
,33847144#2,,1133878589#2,,,
,894991909#1,,-1021407861#1,,,
,47025799#1,,636894188#1,,,
,879780891#3,,178757956#1,,,
,45242995#5,,-23443416#4,,,
,-147812381#10,,1042122376#0,,,
,1026056857#0,,89418354#0,,,
,69963044#2,,-85568111#1,,,
,-616100136,,89430683#1,,,
,-172665593#1,,-91854814,,,
,95274316#0,,-89419197,,,
,-968060910#2,,86867128#3,,,
,147812381#4,,-682262619#1,,,
,968218278#6,,89240073#4,,,
,95274341#1,,544342030#1,,,
,760734685#0,,1177605681#3,,,
,40969586#2,,-1021351340#4,,,
,-97685613#0,,-91854885#2,,,
,319195388#4,,46982284#0,,,
,207104337#0,,-518843396,,,
,25824166#2,,91854872,,,
,968218278#4-AddedOffRampEdge,,549451720,,,
,1103812306,,1021351340#0,,,
,39521608,,328531828#0,,,
,240595359#1,,24024046#1,,,
,-968060910#4,,89234087#1,,,
,932390016#0,,193618812#15,,,
,139085562#0,,72463466#0,,,
,-690198421,,513567595,,,
,669790924#0,,46982423#0,,,
,27695604#2,,228766720#0,,,
,240595364#0,,46982423#1,,,
,4848928#9,,543209655#1,,,
,-145402277,,89418364#0,,,
,1158715735,,34998006#2,,,
,4848911,,-89420431#2,,,
,342481201#8,,-89240082#2,,,
,203301448,,1177605681#0,,,
,-172665593#0,,228766720#1,,,
,968060910#5,,89420435#0,,,
,315233373#1,,58706164#0,,,
,884274229#2,,-47072157#0,,,
,25824165#1,,301494973#2,,,
,44049166#3,,-55686075#4,,,
,40969594#0,,31887176,,,
,548908719,,46982301#7,,,
,548908717,,584343267#2,,,
,-139718226#0,,-543054885#0,,,
,240388169#0,,328531782#0,,,
,-69963032#2,,-91854875#2,,,
,525276670,,536520674,,,
,33847144#3,,-89240074#0,,,
,856631371#20,,34951154,,,
,39520581#0,,-571930272,,,
,660988514#1,,89430685#1,,,
,139718209,,-89419196#1,,,
,342481201#12,,72463851#1,,,
,47025799#4,,178757945#0,,,
,271720622#1,,460851984#7,,,
,568498791#0,,89185075#0,,,
,319196850#2,,85568120#7,,,
,4848932#6,,48788423#3,,,
,759287234#0-AddedOnRampEdge,,460851984#3,,,
,856631371#18,,228056313,,,
,-147812381#5,,458283475#2,,,
,271720637#0,,458283475#5,,,
,1009766031,,328531828#2,,,
,97685754#2,,544340291#2,,,
,798844785,,81606324#1,,,
,24487306#1,,543054883,,,
,856631371#21,,149415593#0,,,
,39521349#0,,463284094#4,,,
,968060910#6,,89420434,,,
,39629578#8,,55686236#1,,,
,760591655#0,,-91854866,,,
,568498791#4,,52518334#1,,,
,854239336#0,,-34951153#1,,,
,651701877#1,,91854874,,,
,191318898,,220470668#1,,,
,879780891#6,,536082140,,,
,139085552,,89430684#2,,,
,150868751#0,,517927340#1,,,
,538982927#0,,33050420,,,
,139718197,,-89234350#3,,,
,667962675#0,,23260460#0,,,
,342481201#6,,264459843#7,,,
,97685780,,181579860,,,
,139718220,,91854877#2,,,
,191324188,,-264459842#1,,,
,4848928#10,,-301494971#0,,,
,539237085#4,,33626782,,,
,667962677,,89213772#7,,,
,-968060910#5,,48391175#1,,,
,151329182#4,,52517547#1,,,
,22730603#2,,55686081#1,,,
,39520581#1,,41519033#2,,,
,240595364#3,,89206669,,,
,39629578#12,,237528239#0,,,
,-151313103#1,,-91216434#1,,,
,-690198420#1,,1042122375#5,,,
,1245147127#0,,-458283475#1,,,
,240595361#1,,193618812#4,,,
,44049166#1,,89430685#2,,,
,39168852#1,,-91854877#0,,,
,151329184#1,,682712374#4,,,
,539237085#6,,-91854885#0,,,
,240595359#0,,-364080011#0,,,
,43988828#2,,91854875#0,,,
,151329182#2,,89219852#0,,,
,-147812381#12,,301494971#2,,,
,734897654,,24060958#15,,,
,-319196859,,43991628#1,,,
,839784837,,43550256,,,
,539237084#5,,364080011#3,,,
,46869642#0,,-89419986#3,,,
,97685619#0,,-141597712,,,
,172665597#1,,458842531#0,,,
,760933236,,24024045#14,,,
,895804511,,91854865#0,,,
,-660988514#1,,682262115#6,,,
,-139718209,,199311794#19,,,
,27695604#0,,89216424#0,,,
,942581084,,1042122375#8,,,
,22730603#0,,-89420436#1,,,
,97685613#3,,509241395#0,,,
,1025991803#0,,-1039902221#2,,,
,139085561#0,,32122590,,,
,39629578#9,,-154093154,,,
,-1245147127#2,,34998006#0,,,
,39168795,,43550983#0,,,
,151313103#0,,24024042#0,,,
,879780891#5,,1301094954#1,,,
,1165717957#1,,509241395#3,,,
,1112063970#1,,199311794#13,,,
,27695604#3,,-35777909#5,,,
,-665702983,,264459843#0,,,
,27695604#10,,-463284095#1,,,
,39629578#7,,193618812#6,,,
,-1070720648,,1119110193#0,,,
,147812381#1,,89418355#0,,,
,69963036,,32812356#5,,,
,459561641#0,,264459853#0,,,
,240595361#4,,1042122374,,,
,1026056857#2,,41519045#2,,,
,147812381#10,,-89419196#0,,,
,97685754#5,,89206671#1,,,
,240595362#0,,-33627771#1,,,
,4848930#0,,41519038#2,,,
,261065064#0,,1054774756#0,,,
,139718225#1,,91686849#0,,,
,172665593#1,,-95399107#0,,,
,-191318898,,-683454879#2,,,
,27695604#4,,-314210314#1,,,
,4848928#7,,89240082#0,,,
,904911911,,570457257#0,,,
,968060910#0,,1042122375#0,,,
,196380141#6,,53156654#0,,,
,151329185#2,,254326632#1,,,
,151329185#0,,52517546#1,,,
,319196861,,89430681#1,,,
,-139718220,,178757944#0,,,
,95277526#8,,199311757#1,,,
,282055760#1,,172011556,,,
,95277523#0,,-264459843#10,,,
,97685763#0,,58706164#3,,,
,97685613#0,,89419202#0,,,
,139718215,,-89417144#1,,,
,45170509,,199311798#0,,,
,726941894#1,,91854885#1,,,
,968060910#4,,587067865#1,,,
,-690198419,,-23260462#3,,,
,690198421,,32130055#2,,,
,45242995#2,,265271590#0,,,
,-139718219#1,,-89234087#1,,,
,736973905#0,,-170598717#0,,,
,151329169#1,,75259453#0,,,
,145402277,,34950625#4,,,
,33847142#0,,314210316#0,,,
,95277526#9,,1127706328#0,,,
,185937183#2,,24989774#1,,,
,1123082510,,-72463466#1,,,
,97685638#0,,47072157#1,,,
,39520581#5,,-156642443#1,,,
,-271720662#2,,43991628#0,,,
,240392370#2,,89430684#1,,,
,-44492913#0,,264459842#4,,,
,271720622#0,,86867128#2,,,
,879780895#1,,33625005#5,,,
,151329182#1,,531013210#1,,,
,172598650#4,,580672559#3,,,
,95274326#2,,-23443416#0,,,
,342481201#3,,1039902220#0,,,
,97685619#1,,41519045#0,,,
,-1026056858#1,,-34950844#5,,,
,45242995#7,,89418360,,,
,-97685613#3,,328531802#15,,,
,27695604#9,,193618812#0,,,
,440392835#3,,58706164#2,,,
,139718224,,34950728#0,,,
,43988828#1,,866351232#1,,,
,-151313103#0,,-536520674,,,
,240595358,,33549498#1,,,
,894991906,,75259451#0,,,
,69963032#2,,72463458#6,,,
,1103811024,,89430678#2,,,
,879780895#0,,543054885#2,,,
,47025799#0,,91730169#0,,,
,151329169#4,,753544147#1,,,
,240595364#1,,33640794#6,,,
,-147812381#2,,301494971#1,,,
,660972501#1,,46982301#1,,,
,40969594#1,,33627853#0,,,
,-1025991805,,89419986#2,,,
,-151313102,,-458283475#7,,,
,879780891#2,,-543054883,,,
,39169198,,178757956#0,,,
,139718227,,328531802#10,,,
,319196850#0,,-89420434,,,
,139085558,,47072156,,,
,265068939#1,,-52518334#2,,,
,97685638#2,,34951229#0,,,
,1165717958,,-91854874,,,
,856631371#19,,34949380#4,,,
,459561639#1,,89430676#1,,,
,69962700#0,,-1039905092#0,,,
,95277528#1,,-264459843#7,,,
,257233103#2,,682712374#3,,,
,441654722,,33118876#0,,,
,69963044#3,,736550490#0,,,
,271720666#0,,220470666#1,,,
,760752371#3-AddedOffRampEdge,,220470668#0,,,
,95274326#0,,91854853#2,,,
,95274326#1,,85568120#0,,,
,33847144#7,,264459845#0,,,
,39629578#5,,1021351340#2,,,
,440392835#5,,-55686195#4,,,
,929013754#2,,-91854870#0,,,
,185937183#2-AddedOnRampEdge,,41260712#2,,,
,-690198420#0,,576811475#0,,,
,856631371#17,,552744245,,,
,95274326#3,,254326632#7,,,
,97685642#0,,593986983,,,
,240595361#2,,89419987#0,,,
,-33847142#0,,686373007,,,
,69963046,,31887159,,,
,97685754#1,,-24060958#17,,,
,98855704,,458673382#4,,,
,39520581#3,,41260712#0,,,
,862139022#1,,-1144431725,,,
,196380141#2,,-458842531#2,,,
,342481201#2,,23260460#2,,,
,139085562#2,,-254326644#0,,,
,172598640#2,,562912001#4,,,
,46869645#1,,572864358#0,,,
,837311012#0,,254326649,,,
,147812381#6,,254326654#4,,,
,269150840#0,,-264459843#1,,,
,319195388#0,,91854839#1,,,
,265068934#0,,-89418355#0,,,
,723855277#1,,918334710#0,,,
,151313103#1,,91216434#2,,,
,690198420#1,,48391239#2,,,
,269150813#4,,254326623#0,,,
,97685763#1,,264459825#5,,,
,150868751#5,,-866351232#3,,,
,240392412,,544812705#2,,,
,95277528#0,,48788423#1,,,
,185937183#0,,23260460#3,,,
,147812381#11,,-89240082#1,,,
,95277526#1,,81606324#4,,,
,319196859,,1177605681#4,,,
,196380141#0,,328531828#5,,,
,151329169#7,,48391175#3,,,
,922026090#2,,-46982284#1,,,
,929013754#0,,-181579907,,,
,-1245147127#1,,33656107#0,,,
,-39169198,,91854880,,,
,342481201#0,,460851984#5,,,
,-139718227,,24024046#2,,,
,1245147127#2,,544340290,,,
,45242995#0,,24060958#4,,,
,275430765,,-172011556,,,
,319195388#5,,170598717#1,,,
,47025799#3,,254326632#4,,,
,342481199#0,,-254326644#2,,,
,665702983,,653717627#0,,,
,1132178318#3,,-89419202#0,,,
,895804510#1,,-254326631#1,,,
,879780891#0,,542264756#2,,,
,151329182#0,,956159236,,,
,240595360#1,,-24060958#14,,,
,-883261858,,89419992#0,,,
,203179926#0,,277789325#3,,,
,69963031,,458673382#6,,,
,172665586,,580672559#2,,,
,1170978440,,581953131#1,,,
,-97685613#2,,89430674,,,
,-97685613#1,,254325082,,,
,69963039#3,,682262115#3,,,
,4848928#5,,91854811,,,
,734696705,,-1039902220#2,,,
,151329185#1,,265271575#0,,,
,1245147126#0,,-82624905#0,,,
,798844784#0,,254326637#4,,,
,95277526#4,,682262114#0,,,
,319196850#4,,-543054885#3,,,
,759508060,,23443416#2,,,
,568498791#2,,-458842531#8,,,
,539237084#3,,648175930,,,
,240595360#0,,-89420431#0,,,
,282055763#0,,33118881#2,,,
,22730601#0,,254326626#0,,,
,665702982#0,,72463457,,,
,151329169#0,,-75259451#1,,,
,261065065,,265271590#2,,,
,97685661,,228766720#2,,,
,-147812381#9,,-458283475#9,,,
,27695604#7,,91534582,,,
,27695605#1,,91854864,,,
,240595361#5,,85568120#8,,,
,242897862#1,,552131809#1,,,
,97685728#2,,264459842#2,,,
,690198419,,91848828,,,
,39521349#1,,199311782#0,,,
,33847144#1,,-55686195#2,,,
,680788592#0,,91854885#2,,,
,139718219#1,,-301494971#1,,,
,1070720653#0,,-1133878589#4,,,
,-139082447,,81606325#1,,,
,440392834#0,,48391166#1,,,
,723856284,,33118876#1,,,
,759379782#7,,-254325089#1,,,
,39629550#4,,199311798#5,,,
,271720662#0,,89419740,,,
,44492913#0,,199311782#4,,,
,680788592#1,,41937512#1,,,
,342481201#9,,-665999473,,,
,4848928#8,,-545973314,,,
,69963044#0,,47072157#0,,,
,203572466#0,,55686075#3,,,
,139085561#1,,-365354843,,,
,4848928#1,,-72463458#2,,,
,-69963032#0,,91854831,,,
,548908718,,301494972#0,,,
,-275430765,,-91854853#2,,,
,580847357#4,,447922896,,,
,39521243,,91854875#2,,,
,43988828#3,,542264756#3,,,
,139718199,,89240074#0,,,
,139085562#4,,32812345#0,,,
,271720704,,571930272,,,
,1245989819,,34951053#0,,,
,25824161#0,,542264756#0,,,
,151313102,,584343267#0,,,
,39169192#0,,254325084#0,,,
,97685754#3,,53156654#1,,,
,894991909#3,,517921702#1,,,
,265068937#0,,91854853#0,,,
,-734696705,,41519033#4,,,
,718432414,,-75259451#3,,,
,46869645#2,,265271584#0,,,
