origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
5,7,73215.3276656957,999999,6,5,1
6,3,73226.01629360886,999999,3,0,1
8,5,73227.44725032552,6,999999,1,1
5,0,73233.6599318539,999999,7,6,1
6,3,73233.6599318539,5,1,2,1
6,5,73236.3150209009,999999,999999,6,1
6,7,73236.3150209009,999999,6,3,1
1,5,73236.31590750918,999999,6,3,1
1,8,73236.31590750918,3,4,999999,1
5,3,73236.31590750918,999999,1,6,1
1,4,73239.86669697483,999999,6,1,1
5,6,73240.2483949896,999999,5,0,1
5,6,73241.39938350936,6,3,999999,1
5,4,73243.73605973176,0,999999,6,1
1,1,73246.43564947644,4,6,999999,1
5,1,73246.43564947644,6,999999,4,1
5,3,73246.43564947644,999999,5,2,1
6,6,73246.43564947644,999999,6,5,1
4,0,73252.26519027168,999999,5,1,1
6,7,73256.61512622114,6,1,5,1
6,7,73256.61512622114,999999,2,3,1
8,5,73256.61512622114,0,2,999999,1
5,3,73260.65552393357,1,5,4,1
5,2,73275.36015175292,8,4,999999,1
8,3,73275.36015175292,999999,4,1,1
5,5,73276.05513774029,999999,2,5,1
4,2,73276.30190821289,2,999999,5,1
5,2,73276.30190821289,999999,5,1,1
5,6,73276.3839868205,1,0,999999,1
6,2,73277.32031990429,999999,5,6,1
5,7,73278.13244455542,999999,5,0,1
4,8,73282.7381625676,999999,6,4,1
5,1,73292.99104925645,999999,6,6,1
6,3,73292.99104925645,2,999999,0,1
1,5,73300.21469154488,3,999999,0,1
6,3,73300.21469154488,999999,5,2,1
1,2,73304.99714825195,5,8,2,1
1,5,73304.99714825195,999999,8,6,1
8,8,73304.99714825195,3,999999,1,1
1,5,73306.76210926604,999999,0,8,1
5,2,73306.76210926604,999999,5,3,1
5,8,73306.76210926604,5,999999,6,1
6,2,73306.76210926604,3,6,999999,1
6,6,73312.7616847779,999999,5,1,1
1,2,73319.07016432445,999999,4,3,1
5,5,73324.9940244651,8,6,1,1
8,6,73324.9940244651,1,4,999999,1
5,5,73336.82633856282,6,0,8,1
2,7,73358.66623140022,2,999999,1,1
6,6,73358.66623140022,3,0,1,1
5,6,73359.72097137228,999999,5,0,1
8,1,73359.72097137228,999999,6,5,1
1,5,73359.86843029175,6,999999,8,1
5,0,73360.27091682285,6,8,999999,1
5,3,73360.27091682285,6,999999,0,1
5,5,73361.91684702311,8,999999,6,1
1,6,73362.71098813422,5,999999,7,1
5,7,73362.71098813422,999999,8,3,1
4,1,73368.95055678108,999999,0,5,1
5,4,73368.95055678108,2,999999,5,1
8,8,73368.95055678108,1,999999,4,1
8,5,73369.38035642743,1,999999,1,1
8,1,73371.71196891839,2,5,999999,1
1,5,73374.93231574417,1,8,999999,1
1,8,73374.93231574417,999999,2,6,1
5,5,73374.93231574417,999999,5,2,1
6,5,73379.46822364925,6,3,999999,1
6,6,73379.46822364925,999999,2,999999,1
1,5,73379.98413613474,5,6,999999,1
5,3,73379.98413613474,5,999999,1,1
5,8,73386.52787907863,2,1,6,1
6,0,73391.7766446428,1,4,999999,1
6,6,73401.9270247806,999999,5,8,1
5,0,73402.19155380655,999999,3,6,1
6,0,73402.19155380655,999999,1,6,1
6,2,73402.19155380655,999999,3,6,1
8,5,73402.19155380655,999999,6,8,1
5,2,73404.16574006747,999999,7,5,1
1,7,73405.66842502335,6,999999,0,1
8,0,73405.66842502335,999999,6,5,1
5,2,73413.59305630559,999999,7,6,1
6,8,73413.78618336873,999999,3,6,1
5,0,73414.67563991163,2,999999,0,1
8,8,73414.67563991163,999999,1,6,1
5,4,73420.80450087965,5,5,999999,1
6,6,73425.06127226802,1,999999,2,1
6,6,73427.63178772305,999999,1,4,1
8,4,73427.63178772305,2,999999,6,1
8,5,73427.63178772305,999999,6,5,1
8,6,73429.56794358745,999999,5,1,1
1,2,73432.91615183563,1,0,999999,1
1,4,73432.91615183563,999999,6,3,1
5,6,73436.56289091002,6,6,6,1
6,3,73443.30648063392,1,4,2,1
4,4,73452.44919825766,2,999999,8,1
5,8,73452.44919825766,5,6,999999,1
5,1,73452.54981493545,999999,4,5,1
6,3,73452.54981493545,0,999999,6,1
1,5,73462.69243835998,2,999999,8,1
5,4,73462.69243835998,999999,3,6,1
2,2,73467.34509153035,999999,4,5,1
6,1,73467.34509153035,5,2,8,1
8,2,73467.34509153035,999999,1,6,1
8,4,73467.34509153035,6,999999,8,1
5,2,73468.14091133824,0,999999,5,1
6,1,73468.14091133824,999999,5,8,1
4,6,73470.27122095737,999999,4,5,1
5,2,73470.27122095737,6,999999,6,1
5,6,73474.6227364813,6,1,8,1
6,3,73479.6296929965,999999,2,5,1
4,5,73479.77380511828,3,999999,6,1
4,6,73479.77380511828,8,999999,6,1
4,3,73481.17719227134,999999,6,2,1
1,1,73486.70884787536,2,999999,0,1
5,2,73486.70884787536,5,999999,8,1
6,2,73491.01485948384,999999,5,6,1
5,5,73499.04796019357,3,999999,5,1
8,0,73510.65942554407,999999,6,5,1
5,1,73515.15985239558,0,999999,3,1
5,5,73515.15985239558,999999,1,8,1
6,5,73516.41277618088,999999,1,2,1
1,8,73520.00968137725,999999,5,3,1
5,5,73520.00968137725,5,999999,6,1
6,3,73520.00968137725,999999,2,999999,1
5,6,73526.38759091983,6,6,999999,1
6,3,73526.38759091983,8,999999,4,1
6,1,73527.99760551087,999999,6,8,1
6,5,73527.99760551087,999999,1,3,1
5,8,73529.87832111176,999999,8,6,1
1,2,73530.81600820983,4,5,7,1
5,5,73535.36397418642,999999,6,5,1
5,6,73536.70732137037,999999,5,8,1
1,5,73540.25818428329,2,1,5,1
5,4,73540.25818428329,999999,2,3,1
6,2,73554.36834404904,6,8,999999,1
5,1,73554.61757540073,999999,6,2,1
1,1,73556.58920802099,3,999999,1,1
5,7,73556.58920802099,999999,1,4,1
2,5,73560.53039147399,999999,3,1,1
6,8,73561.20022122154,999999,1,3,1
5,0,73571.93773812451,3,999999,4,1
1,6,73574.2946079458,6,5,999999,1
5,4,73574.98580368141,3,999999,5,1
5,0,73575.25023015212,2,999999,7,1
5,4,73578.5708699787,1,999999,6,1
8,3,73578.78972135657,999999,6,1,1
5,6,73581.4613004307,0,2,5,1
6,2,73583.01150049141,6,8,999999,1
8,0,73583.01150049141,999999,6,5,1
1,4,73583.51628059495,1,999999,4,1
5,8,73583.51628059495,999999,2,0,1
6,5,73583.51628059495,999999,5,3,1
4,5,73587.64449960012,999999,5,0,1
4,6,73587.64449960012,999999,4,7,1
6,0,73587.64449960012,0,999999,8,1
6,3,73595.4980875935,999999,2,6,1
5,1,73596.69547555222,999999,1,8,1
5,2,73596.69547555222,6,999999,6,1
6,5,73596.69547555222,999999,7,0,1
1,5,73603.48362036704,3,999999,2,1
5,5,73603.48362036704,999999,0,6,1
5,6,73603.48362036704,3,5,999999,1
1,0,73620.17491582136,999999,5,6,1
1,4,73620.17491582136,999999,8,3,1
5,5,73620.17491582136,5,8,999999,1
6,6,73621.23164317763,6,5,999999,1
5,2,73622.61620408494,999999,5,1,1
5,6,73622.61620408494,2,999999,1,1
6,8,73624.11209008565,6,3,999999,1
4,6,73625.7866531701,999999,5,6,1
6,3,73625.7866531701,7,5,999999,1
6,6,73625.7866531701,3,0,999999,1
6,1,73629.95816599703,999999,5,6,1
6,5,73634.29699132586,0,4,999999,1
8,1,73634.29699132586,6,5,999999,1
1,6,73639.5535281628,6,5,999999,1
5,4,73641.40609446826,6,999999,8,1
5,4,73643.53388749239,999999,3,6,1
5,7,73643.53388749239,999999,2,0,1
6,1,73653.51049489822,999999,8,4,1
5,5,73653.97572614672,8,999999,6,1
8,1,73653.97572614672,999999,2,1,1
1,6,73665.09930040434,999999,6,0,1
5,2,73665.30380017261,0,999999,5,1
5,5,73665.30380017261,3,999999,5,1
5,5,73665.30380017261,6,5,0,1
6,1,73665.30380017261,999999,8,6,1
6,6,73665.30380017261,999999,6,8,1
6,7,73670.73597916451,999999,5,2,1
2,5,73671.47196105547,0,0,2,1
6,4,73671.47196105547,999999,6,5,1
6,4,73675.2097219582,999999,6,8,1
6,6,73675.2097219582,999999,2,7,1
4,3,73677.71426459798,999999,8,6,1
6,2,73679.18542753728,5,999999,1,1
2,6,73683.12613274885,999999,3,6,1
5,2,73683.12613274885,5,8,2,1
5,5,73683.12613274885,5,999999,3,1
5,1,73687.62232694813,0,999999,3,1
5,6,73687.62232694813,4,999999,3,1
5,3,73695.66173828462,999999,8,8,1
5,4,73695.66173828462,1,999999,6,1
5,7,73702.17069178628,999999,0,8,1
5,7,73710.61086794359,1,3,999999,1
8,5,73724.23674974081,999999,6,8,1
1,6,73736.93766122188,2,999999,4,1
5,3,73742.8611296281,999999,1,4,1
5,6,73747.40369781804,999999,5,3,1
6,3,73747.40369781804,999999,0,5,1
6,5,73749.13821330664,999999,3,1,1
6,3,73750.11121600436,999999,2,1,1
5,1,73751.89727273637,0,999999,5,1
5,7,73751.89727273637,999999,2,0,1
5,0,73760.86637422068,8,999999,5,1
5,3,73763.97470013937,8,999999,6,1
4,0,73764.76558485816,5,6,999999,1
4,8,73764.85274100813,4,6,7,1
1,6,73766.39257138579,3,6,999999,1
8,0,73766.39257138579,6,1,999999,1
6,8,73770.05009446465,999999,5,6,1
5,7,73773.14636070542,6,5,8,1
6,2,73773.14636070542,999999,6,8,1
5,4,73775.27426464649,6,999999,8,1
1,8,73782.13742076526,6,999999,2,1
5,2,73782.13742076526,999999,6,1,1
1,0,73783.29897533455,999999,5,6,1
5,1,73783.29897533455,4,6,2,1
6,5,73783.29897533455,999999,3,6,1
6,6,73784.85782016476,0,3,999999,1
1,0,73787.20363208883,4,999999,5,1
1,3,73787.20363208883,999999,8,6,1
6,0,73787.20363208883,999999,4,2,1
1,4,73788.15723538434,3,999999,5,1
5,2,73788.15723538434,999999,7,6,1
5,3,73788.15723538434,999999,8,1,1
5,8,73788.15723538434,8,5,999999,1
1,5,73794.35218325641,999999,8,6,1
2,2,73794.35218325641,999999,3,5,1
5,6,73794.35218325641,5,999999,1,1
5,0,73799.26987042409,999999,4,2,1
5,5,73799.26987042409,999999,3,6,1
5,6,73809.8769086772,999999,6,5,1
6,8,73809.8769086772,2,4,6,1
8,8,73809.8769086772,999999,6,6,1
1,0,73813.44507930918,999999,2,8,1
4,1,73813.44507930918,0,8,999999,1
5,1,73814.6460080243,5,3,999999,1
5,1,73815.34409151034,8,999999,0,1
5,1,73815.34409151034,999999,2,1,1
5,6,73816.52063764918,6,2,7,1
6,0,73816.52063764918,1,6,999999,1
5,3,73817.17458469477,6,2,999999,1
5,3,73817.17458469477,999999,0,1,1
6,7,73817.17458469477,8,6,999999,1
4,1,73818.64150033091,999999,0,3,1
6,4,73818.64150033091,999999,6,6,1
5,0,73819.07416744107,1,5,999999,1
5,2,73819.07416744107,999999,3,6,1
5,4,73820.0105218504,999999,3,2,1
5,6,73820.75044839259,999999,8,0,1
6,3,73820.75044839259,1,999999,4,1
5,5,73834.43259252468,999999,4,6,1
8,3,73834.43259252468,8,999999,2,1
6,1,73838.1613380844,2,999999,6,1
1,6,73839.42873835973,999999,1,1,1
6,5,73839.42873835973,0,5,999999,1
6,3,73839.91897381266,7,6,4,1
5,6,73849.60718693995,999999,3,8,1
5,2,73851.0913489033,8,999999,4,1
6,5,73852.48375928988,999999,1,2,1
6,6,73852.48375928988,0,3,8,1
6,5,73855.73198032005,0,999999,5,1
6,6,73859.22236404354,6,3,999999,1
8,2,73859.22236404354,5,4,6,1
1,1,73863.80797324142,999999,8,3,1
6,3,73863.80797324142,999999,2,5,1
5,6,73864.82665339693,999999,4,1,1
6,8,73864.82665339693,999999,6,6,1
5,0,73865.08262207989,999999,6,5,1
8,0,73865.08262207989,999999,1,6,1
1,3,73867.60294667895,0,5,8,1
1,3,73867.60294667895,4,4,999999,1
4,7,73867.60294667895,999999,5,8,1
5,3,73867.60294667895,999999,4,1,1
5,4,73868.28207870502,5,999999,0,1
4,2,73871.04655235719,1,8,4,1
8,6,73871.04655235719,5,999999,3,1
2,1,73874.77672805486,999999,4,5,1
5,3,73874.77672805486,5,5,999999,1
5,5,73874.77672805486,4,1,999999,1
6,3,73874.77672805486,999999,8,1,1
1,0,73874.86351922182,999999,2,3,1
1,1,73874.86351922182,5,999999,6,1
5,2,73874.86351922182,5,999999,2,1
5,2,73878.82165728718,999999,1,4,1
6,3,73878.82165728718,2,999999,6,1
5,5,73879.86056969038,999999,6,1,1
1,6,73885.95697271325,1,0,999999,1
4,8,73885.95697271325,1,6,999999,1
5,4,73886.22937735009,6,3,999999,1
6,5,73886.22937735009,3,999999,6,1
6,4,73886.72256092692,999999,1,3,1
6,8,73886.72256092692,6,999999,8,1
5,2,73888.85799500823,6,999999,6,1
4,8,73896.51937870993,6,999999,1,1
5,1,73896.51937870993,6,6,5,1
5,6,73896.51937870993,3,6,6,1
6,0,73905.67982806779,3,999999,6,1
6,2,73905.67982806779,999999,5,1,1
1,1,73921.99748418217,6,1,3,1
5,8,73926.87422127675,999999,0,6,1
6,2,73926.87422127675,7,999999,5,1
8,5,73933.71226339454,5,1,3,1
1,0,73936.95635014752,999999,5,5,1
6,5,73936.95635014752,5,999999,1,1
4,7,73947.99812582092,999999,6,5,1
5,0,73947.99812582092,999999,1,3,1
5,5,73947.99812582092,999999,8,1,1
5,7,73947.99812582092,999999,1,8,1
6,8,73947.99812582092,2,999999,3,1
5,4,73948.0901907338,1,0,2,1
6,8,73948.0901907338,5,999999,6,1
4,7,73950.84665375958,999999,5,3,1
6,1,73950.84665375958,8,6,6,1
6,5,73956.14599978234,999999,8,1,1
6,6,73957.8240113999,999999,0,6,1
6,8,73957.8240113999,999999,5,3,1
1,4,73958.0061130575,6,1,999999,1
4,3,73958.0061130575,999999,0,1,1
5,4,73958.0061130575,1,999999,0,1
1,0,73962.30892940477,999999,5,0,1
1,1,73962.30892940477,999999,6,5,1
6,6,73962.30892940477,6,999999,2,1
8,5,73962.30892940477,0,8,5,1
5,3,73962.67414584401,0,6,5,1
5,3,73962.67414584401,8,999999,1,1
5,5,73963.37819171204,999999,4,1,1
6,1,73963.37819171204,5,999999,8,1
6,8,73963.37819171204,4,0,5,1
1,6,73971.96750513626,8,5,2,1
6,4,73971.96750513626,999999,2,5,1
1,8,73980.67003240707,2,5,0,1
5,2,73980.67003240707,0,0,6,1
5,5,73980.67003240707,1,999999,8,1
5,6,73992.24829455906,999999,1,6,1
1,3,74000.2186485509,5,2,6,1
4,6,74000.2186485509,4,6,999999,1
8,1,74001.6278303082,999999,8,8,1
5,0,74004.90614047452,2,999999,5,1
6,6,74008.08217806355,3,2,8,1
6,5,74010.78860682124,999999,4,8,1
1,2,74010.80162570594,999999,8,5,1
5,1,74019.1908596848,4,6,999999,1
6,3,74025.75728779349,999999,1,8,1
1,6,74026.46607509504,999999,1,6,1
2,3,74027.30267336633,5,999999,6,1
6,1,74027.48793915713,999999,6,5,1
5,8,74034.06300968897,1,999999,6,1
6,2,74034.06300968897,999999,0,3,1
2,1,74038.35259108085,5,8,1,1
5,3,74038.35259108085,0,5,5,1
6,6,74038.35259108085,999999,4,2,1
5,8,74038.50357467771,0,6,5,1
6,2,74038.50357467771,999999,0,6,1
8,3,74042.91314585286,6,1,0,1
5,0,74050.19165791437,999999,5,5,1
5,3,74057.65041458252,6,999999,8,1
5,1,74059.7124764794,1,1,4,1
6,5,74059.7124764794,999999,8,4,1
6,2,74063.70844669477,999999,0,3,1
6,6,74064.64736085899,999999,1,0,1
5,5,74079.23241969214,2,999999,999999,1
5,7,74079.23241969214,7,3,999999,1
8,5,74079.23241969214,999999,3,4,1
6,6,74088.0572572578,999999,0,7,1
1,3,74089.63115526401,5,999999,1,1
1,3,74090.39889458369,8,1,999999,1
6,4,74092.84994315854,999999,0,5,1
2,5,74097.2503910441,999999,5,1,1
5,6,74097.2503910441,999999,1,7,1
5,8,74102.63088760586,5,3,999999,1
6,4,74108.38490839407,8,6,999999,1
6,8,74108.38490839407,999999,3,6,1
1,8,74109.48246370228,3,6,999999,1
4,5,74109.48246370228,999999,8,3,1
6,1,74113.20849642929,999999,5,6,1
4,2,74115.04339661241,0,5,999999,1
5,6,74115.04339661241,3,1,999999,1
6,5,74122.15236092077,0,3,5,1
5,5,74126.91133258451,3,6,2,1
5,3,74129.31009298425,6,2,0,1
5,5,74129.31009298425,6,999999,3,1
5,6,74130.24949700345,1,999999,3,1
6,5,74131.41125675144,6,999999,6,1
6,5,74140.02686688081,999999,1,4,1
2,4,74143.27315387285,999999,7,5,1
6,2,74143.27315387285,2,0,999999,1
1,5,74145.6733116179,6,8,999999,1
5,2,74145.6733116179,999999,2,1,1
5,8,74145.6733116179,6,1,0,1
4,4,74149.35841253177,2,5,999999,1
6,5,74160.89753466744,1,6,999999,1
5,5,74163.67914697011,999999,5,8,1
6,1,74163.9850458061,6,999999,1,1
5,3,74168.18128772025,999999,5,6,1
8,7,74168.18128772025,4,5,0,1
5,3,74177.73435544448,999999,4,5,1
8,4,74177.73435544448,999999,6,2,1
8,4,74188.58940791381,1,999999,3,1
8,6,74188.58940791381,0,999999,5,1
4,7,74189.41942243885,6,999999,2,1
5,3,74189.41942243885,999999,2,1,1
6,5,74189.41942243885,2,5,999999,1
1,6,74194.68587565144,5,999999,7,1
5,5,74194.68587565144,1,5,6,1
6,7,74199.68298132862,5,999999,2,1
1,5,74211.93491464051,1,4,5,1
6,3,74211.93491464051,999999,0,5,1
8,6,74217.58682555606,999999,4,3,1
5,5,74221.7303117817,8,6,999999,1
6,3,74221.83030240491,999999,8,6,1
1,0,74222.04875617253,1,999999,3,1
5,2,74222.04875617253,8,3,5,1
6,1,74222.04875617253,999999,8,3,1
