名称,所在地,緯度,経度
余戸東すみれ公園,余戸東３丁目１０８２番２外,33.81184988,132.7333141
余戸西緑地,余戸西５丁目２１１５番１,33.81908352,132.7237026
であい公園（余戸南であい公園）,余戸南４丁目１７１０番２他,33.80977908,132.7272988
六町公園,勝岡町２３８,33.90161492,132.7242201
若草公園,枝松６丁目１番２５号,33.82436565,132.7861361
若駒公園,安城寺町１番９４,33.87097415,132.7456993
若宮公園,高岡町７８３－２９,33.83530379,132.7179076
湧ヶ淵公園,末町乙２３１番地1　他,33.8692126,132.8274902
和気公園,和気町１丁目１００,33.88994207,132.7371542
和気浜公園,和気２丁目９８６番２ 　他,33.89694381,132.7344056
和気浜緑地,和気町２丁目886番地,33.90259068,132.73454
和気松原公園,和気町２丁目８０９番１ 　他,33.90125274,132.7361938
鷲ヶ巣公園,由良町４１８番地１他,33.8996248,132.6678101
和田チャイルドタウン緑地,和田　甲311番5,33.93444485,132.7648379
和田ニュータウン緑地,和田　甲200-9,33.93356646,132.7649468
石手川南グランド,石手川河川敷,33.82917795,132.7675737
森松グランド（重信川緑地）,重信川河川敷,33.78717085,132.7970853
東野ほたる公園,松山市東野３丁目,33.8416182,132.8093529
立岩川水辺公園,松山市庄ほか,33.97133198,132.7982006
平井東１なかよし公園,水泥町７３３番１９,33.80411843,132.8339797
大野こまち公園,北梅本町甲６４０番地７,33.80522478,132.8394643
すみれ野レモン公園,石風呂町２３８番地,33.87581641,132.7188771
すみれ野ハウス公園,石風呂町２４１番地,33.87621953,132.7193531
すみれ野りんご公園,石風呂町２３５番地,33.87519087,132.7179844
平井みずほ公園,平井町甲１１１番地４,33.80933075,132.8376603
南吉田こもれび公園,南吉田町１４１３番６７,33.82691267,132.7154461
花見公園,南江戸５丁目１４６３,33.84116204,132.7424722
道後平第1公園,南白水2丁目12番3,33.86886889,132.7852468
日尾団地中央公園,水泥町333番地278外,33.80074548,132.8191684
庄公園,庄甲291,33.9721944,132.8023416
道後平第2公園,南白水3丁目34番地1外,33.86577509,132.78668
道後平第3公園,南白水1丁目28番地1外,33.86499313,132.7859366
