origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
5,2,137032.40065432654,999999,3,6,1
6,1,137036.98496360728,4,999999,6,1
4,4,137038.11964166502,2,999999,6,1
5,1,137039.03617700958,7,999999,3,1
6,6,137047.09978391396,999999,2,8,1
1,6,137047.6904345848,999999,8,6,1
5,4,137053.11215251,999999,0,5,1
6,6,137055.12562185392,999999,5,0,1
5,5,137055.87888985226,999999,2,6,1
6,1,137067.03246924968,0,0,999999,1
5,6,137067.66167939946,999999,0,8,1
5,5,137077.0814874497,5,999999,2,1
5,3,137081.29725083563,999999,3,5,1
6,8,137084.21484052704,999999,2,3,1
6,5,137084.66676346274,999999,6,0,1
4,7,137085.02437338373,999999,3,1,1
5,4,137087.80042861114,999999,1,2,1
5,0,137092.8547736201,999999,2,3,1
2,8,137097.58900684793,999999,4,1,1
5,2,137099.1483710279,1,5,5,1
6,8,137103.04994913732,6,1,999999,1
5,2,137103.74239581992,999999,3,2,1
5,2,137109.12726858456,999999,6,3,1
2,6,137109.50341051747,3,999999,8,1
6,3,137113.92692601169,999999,1,8,1
8,2,137115.4712298299,999999,5,1,1
4,8,137115.6164007652,999999,2,8,1
7,2,137116.85433564466,999999,0,6,1
6,6,137122.4969129866,999999,6,5,1
8,2,137123.14122169596,5,5,999999,1
5,8,137130.03036012556,5,0,3,1
1,6,137136.17241992772,999999,6,4,1
7,4,137137.03125612816,6,1,8,1
5,5,137140.26525042954,999999,2,6,1
6,1,137144.3585233248,999999,4,2,1
1,0,137144.40491961705,999999,2,3,1
5,1,137144.65170641316,6,999999,7,1
5,2,137145.71098781817,999999,1,8,1
6,5,137148.76791396018,999999,0,2,1
5,2,137149.902744747,999999,3,5,1
6,3,137152.96341132972,999999,5,6,1
6,8,137155.58179062302,999999,6,5,1
6,5,137155.9298403033,999999,4,1,1
5,4,137156.49769578967,999999,1,5,1
1,0,137156.5171607234,999999,8,2,1
8,1,137161.00911531865,8,999999,5,1
4,3,137162.62057013373,999999,0,6,1
1,5,137169.36524286977,6,999999,5,1
8,8,137171.0903406024,999999,0,5,1
5,2,137172.00597646783,999999,5,8,1
4,0,137173.27985806973,999999,5,6,1
1,8,137182.18632719677,999999,8,1,1
1,0,137188.08401196025,5,6,4,1
8,2,137197.27342745717,999999,2,6,1
5,3,137209.05169690735,999999,1,5,1
5,8,137209.9028284721,999999,5,1,1
5,5,137210.70874116488,999999,3,4,1
5,1,137211.5117936484,999999,6,6,1
5,5,137211.8639210636,999999,4,6,1
5,5,137219.44141322575,6,2,999999,1
2,6,137225.44345105925,999999,6,5,1
5,5,137229.56476734835,999999,1,8,1
5,4,137230.32831780805,999999,3,5,1
6,5,137231.27338992068,999999,5,7,1
6,4,137233.23582459587,999999,5,8,1
8,1,137236.96857512425,999999,2,5,1
5,6,137239.69404873357,999999,5,6,1
8,7,137248.12533776046,999999,4,5,1
4,0,137249.11301836665,999999,2,6,1
4,1,137249.47246269716,999999,6,6,1
5,4,137250.51920068692,999999,3,6,1
5,6,137251.81268846808,999999,6,2,1
5,6,137253.86344465817,6,8,999999,1
5,8,137253.9001814023,999999,5,6,1
5,0,137254.86221333055,999999,8,5,1
1,5,137256.3197065794,999999,4,2,1
5,5,137258.56576243782,3,999999,4,1
5,6,137261.56648254808,3,4,8,1
6,5,137265.99342716698,6,1,999999,1
5,2,137275.22182702625,6,999999,0,1
5,3,137275.89237597823,0,999999,1,1
5,8,137284.45214795624,0,999999,1,1
6,6,137285.4891846819,999999,2,6,1
4,1,137290.85136965674,999999,5,2,1
5,4,137293.23962775987,999999,5,6,1
4,6,137293.47882833265,0,1,999999,1
5,5,137294.19875099967,999999,6,3,1
6,5,137295.13982584397,999999,6,6,1
6,7,137301.6808176737,999999,5,5,1
5,6,137305.96210680663,999999,8,1,1
5,2,137307.79061319807,999999,3,2,1
6,8,137309.85271567063,6,3,0,1
5,6,137311.63660010023,999999,8,6,1
6,2,137321.26203931967,0,1,2,1
5,2,137325.30867246195,999999,1,8,1
6,2,137327.87251168524,999999,5,0,1
6,3,137328.5100955863,999999,6,7,1
5,5,137331.33362428984,999999,6,5,1
1,5,137333.0561914547,999999,6,8,1
1,2,137333.6146211474,999999,4,4,1
8,2,137339.33280907304,999999,5,6,1
8,6,137339.34220646982,8,999999,0,1
4,2,137341.2081059996,999999,4,5,1
6,5,137344.05411771568,999999,5,2,1
8,2,137344.95028429848,999999,3,6,1
5,1,137346.9994786462,8,999999,0,1
5,2,137348.1912894501,999999,6,1,1
5,2,137348.61385208138,8,999999,5,1
5,8,137353.29942532882,6,999999,1,1
8,1,137354.26248525982,2,6,999999,1
1,5,137364.28778636234,4,2,999999,1
4,2,137370.47617683353,999999,6,3,1
6,5,137375.03951351502,999999,5,1,1
5,2,137376.03120729438,1,999999,3,1
6,2,137378.47771964502,999999,0,4,1
1,5,137382.92345700806,999999,6,3,1
1,5,137383.18254624386,999999,6,0,1
6,5,137384.77126590503,3,999999,8,1
5,1,137393.62887863163,8,999999,5,1
5,8,137394.9091901022,999999,6,8,1
1,6,137397.0801613018,999999,6,0,1
4,8,137397.8571416054,999999,4,4,1
8,6,137398.48778825614,6,999999,5,1
5,1,137401.13103349545,999999,7,1,1
4,7,137405.4768140679,999999,2,3,1
6,1,137406.05871442935,999999,7,5,1
6,2,137407.10433685852,999999,1,5,1
5,4,137412.66699554288,6,999999,2,1
8,5,137413.5127946721,999999,2,4,1
6,5,137415.9108888171,999999,999999,2,1
1,4,137423.36641759702,999999,5,4,1
5,0,137424.19497237948,999999,6,1,1
5,4,137424.37788403663,1,999999,0,1
1,0,137426.2731189909,999999,5,4,1
5,2,137427.53381960272,999999,6,1,1
8,0,137427.63120653876,999999,2,6,1
1,2,137430.7901114689,999999,8,0,1
5,5,137432.17759849137,4,999999,8,1
4,1,137435.06442560788,999999,2,6,1
1,8,137436.42019948672,999999,3,1,1
6,6,137436.51271519245,999999,5,6,1
4,6,137439.62292404467,999999,4,2,1
1,5,137442.79408223153,999999,6,6,1
5,6,137444.2752901736,999999,1,6,1
5,5,137445.50449616482,999999,8,0,1
1,4,137450.85203303827,4,999999,3,1
5,8,137452.23392893103,999999,5,6,1
5,7,137453.78287292307,999999,5,2,1
8,1,137456.8087655746,999999,4,5,1
4,3,137459.7866148813,999999,6,0,1
6,1,137460.08941754457,8,8,999999,1
8,2,137465.47092505783,999999,2,6,1
5,8,137474.98893625868,999999,6,4,1
6,2,137475.78052737413,999999,3,1,1
4,5,137478.0172542231,999999,6,6,1
8,5,137478.14809645506,999999,4,3,1
5,2,137481.57952618957,999999,5,5,1
6,2,137485.66070229365,999999,5,1,1
5,5,137491.00301545818,999999,3,1,1
4,0,137492.38499604925,1,5,999999,1
5,3,137493.08624022783,999999,2,8,1
6,8,137495.0286960301,4,999999,6,1
5,5,137504.10661082648,999999,8,5,1
5,6,137505.12607988893,999999,1,6,1
5,5,137506.76017900257,3,0,999999,1
7,1,137511.392013251,999999,2,5,1
1,6,137513.4069517572,999999,1,8,1
6,5,137515.2676271049,999999,6,6,1
2,4,137517.06510694386,999999,5,8,1
6,8,137517.61877011106,999999,6,5,1
6,7,137520.34295745185,5,5,999999,1
4,8,137523.69413344265,999999,2,4,1
6,0,137529.83743839263,999999,5,3,1
5,2,137530.26816254892,5,3,8,1
8,1,137533.6331403385,1,999999,0,1
5,1,137539.50184940227,0,999999,2,1
4,8,137542.3619067987,999999,2,2,1
6,5,137549.35301702237,999999,6,4,1
5,8,137552.38970103557,999999,2,4,1
5,2,137557.11415188803,999999,6,5,1
6,2,137558.45759724945,999999,8,2,1
5,3,137561.0010305684,0,999999,5,1
5,4,137563.4364492296,999999,0,5,1
5,2,137566.58485178425,999999,6,0,1
5,3,137566.9495492183,999999,1,6,1
6,4,137576.94107693323,999999,6,6,1
6,6,137578.6310588603,999999,6,2,1
2,3,137581.8319745852,999999,2,5,1
4,1,137581.84377512964,2,8,8,1
8,2,137588.6186742442,999999,8,5,1
1,6,137592.56024789438,999999,1,1,1
5,5,137592.5616584121,999999,6,8,1
4,5,137593.4483552112,6,999999,0,1
5,2,137599.8846204221,5,0,999999,1
5,3,137601.71506093108,999999,7,7,1
1,8,137602.99533065603,5,0,999999,1
1,2,137605.61334988353,999999,0,0,1
1,6,137606.842372497,6,999999,4,1
6,6,137607.20471094208,1,6,999999,1
6,5,137608.21249125362,2,999999,0,1
1,1,137610.3472018953,999999,3,5,1
5,0,137616.51103298893,6,6,8,1
5,4,137617.48307471222,999999,5,5,1
5,5,137628.44117463037,999999,2,5,1
1,6,137636.0638342081,999999,1,5,1
6,1,137642.19537600502,6,999999,0,1
4,8,137648.16721772257,5,4,5,1
5,5,137648.56534395524,999999,0,4,1
5,6,137650.37325594734,999999,5,0,1
5,5,137657.83286974474,999999,8,6,1
8,0,137666.08872338536,2,999999,5,1
6,6,137668.76095939387,0,999999,1,1
8,5,137669.3371455353,999999,2,6,1
6,0,137669.59282104124,999999,2,2,1
8,8,137681.94307267305,999999,1,2,1
5,8,137688.4544866385,999999,6,8,1
1,5,137689.65855518298,999999,5,4,1
5,2,137690.45523424138,999999,5,1,1
5,5,137697.4794879349,6,999999,0,1
6,3,137697.53492761965,6,5,6,1
8,5,137698.96845444688,999999,0,2,1
1,6,137700.25425516508,8,6,999999,1
4,0,137701.61702737559,999999,6,5,1
5,5,137702.25698691624,999999,6,1,1
5,2,137705.44247811928,999999,6,3,1
1,6,137712.63111048733,999999,5,2,1
1,2,137715.693126486,999999,0,5,1
