PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,谷町,15000000,,,120,,ほぼ長方形,10.2,95,1984年,木造,住宅,,西,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市8区,玉谷町,132.844709,33.89454,6
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,道後喜多町,29000000,,４ＬＤＫ,85,,,,,2003年,ＳＲＣ,住宅,,,,,近隣商業地域,80,300,2008年第1四半期,未改装,,松山市3区,道後喜多町,132.781197,33.851331,1
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,道後緑台,7000000,,,85,,長方形,5.5,100,1991年,軽量鉄骨造,住宅,,東,道路,3.1,第１種住居地域,60,200,2008年第1四半期,,,松山市3区,道後緑台,132.78119,33.853353,1
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,富久町,17000000,,,115,,ほぼ台形,4.8,100,1999年,木造,住宅,,北,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市15区,富久町,132.728858,33.822449,13
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,西長戸町,16000000,380000,,140,110000,ほぼ正方形,11.4,, ,,,,東,道路,4.5,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市18区,西長戸町,132.74164,33.867222,16
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,西長戸町,17000000,,,135,,不整形,,100,2001年,木造,住宅,,南,道路,4.2,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市18区,西長戸町,132.74164,33.867222,16
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,西垣生町,20000000,,,570,,不整形,15,390,1975年,鉄骨造,住宅、作業場、倉庫,,南,市道,3,準工業地域,60,200,2008年第1四半期,,,松山市15区,西垣生町,132.698868,33.81314,13
不動産取引価格情報,宅地(土地),工業地,38201,愛媛県,松山市,西垣生町,910000000,130000,,9999,39000,ほぼ長方形,9999.9,, ,,,,東,道路,9.1,工業専用地域,60,200,2008年第1四半期,,,松山市15区,西垣生町,132.698868,33.81314,13
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,西垣生町,51000000,240000,,690,74000,ほぼ長方形,9999.9,, ,,,,西,私道,5,準工業地域,60,200,2008年第1四半期,,,松山市15区,西垣生町,132.698868,33.81314,13
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,東垣生町,13000000,300000,,145,90000,ほぼ台形,10.3,, ,,,,北西,市道,5.2,第１種中高層住居専用地域,60,200,2008年第1四半期,,,松山市15区,東垣生町,132.713989,33.813622,13
