PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone,選択ゾーン,Year
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,空港通,100000000,,,670,149253.73134328358,ほぼ長方形,20.0,440.0,2006年,鉄骨造,事務所、店舗,,北,県道,18.5,準工業地域,60.0,200.0,2008年第1四半期,,,松山市5区,空港通六丁目,132.730469,33.827805,3.0,"[np.float64(10.0), np.float64(4.0)]",2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,空港通,25000000,,,115,217391.30434782608,ほぼ整形,13.2,95.0,2008年,木造,住宅,,北,私道,4.2,準工業地域,60.0,200.0,2008年第1四半期,,,松山市5区,空港通七丁目,132.727527,33.827787,3.0,"[np.float64(10.0), np.float64(4.0)]",2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,下伊台町,11000000,,,175,62857.142857142855,ほぼ長方形,12.2,110.0,1989年,木造,住宅,,北,私道,4.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市8区,下伊台町,132.800807,33.873905,6.0,[np.float64(26.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,下伊台町,17000000,,,200,85000.0,ほぼ長方形,17.4,195.0,1993年,木造,住宅,,南西,私道,4.0,市街化調整区域,70.0,200.0,2008年第1四半期,,調停・競売等,松山市8区,下伊台町,132.800807,33.873905,6.0,[np.float64(26.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,下伊台町,17000000,,,200,85000.0,ほぼ長方形,17.4,195.0,1993年,木造,住宅,,南西,私道,4.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市8区,下伊台町,132.800807,33.873905,6.0,[np.float64(26.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,新浜町,9700000,,,270,35925.92592592593,ほぼ台形,22.0,150.0,1979年,木造,住宅,,南,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,調停・競売等,松山市17区,新浜町,132.713199,33.871496,15.0,[np.float64(15.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,住吉,5500000,,,155,35483.87096774193,不整形,6.4,85.0,1991年,軽量鉄骨造,店舗,,南,市道,4.0,商業地域,80.0,400.0,2008年第1四半期,,調停・競売等,松山市20区,住吉一丁目,132.717984,33.863883,15.0,[np.float64(14.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,高野町,27000000,,,270,100000.0,ほぼ長方形,15.0,95.0,1991年,木造,住宅,,南,私道,6.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市8区,高野町,132.814014,33.853202,6.0,[np.float64(24.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,竹原,12000000,,２ＬＤＫ,65,184615.38461538462,,,,1996年,ＳＲＣ,住宅,,,,,,,,2008年第1四半期,未改装,,松山市5区,竹原三丁目,132.749524,33.832047,3.0,[np.float64(4.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,立花,30000000,,,165,181818.18181818182,不整形,,90.0,2008年,木造,,,東,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市4区,立花三丁目,132.773164,33.825927,2.0,[np.float64(3.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,立花,9700000,,,135,71851.85185185185,長方形,13.5,80.0,1969年,木造,住宅,,南,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市5区,北立花町,132.772517,33.83426,3.0,[np.float64(3.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,立花,33000000,,,360,91666.66666666667,不整形,21.6,120.0,1995年,鉄骨造,事務所、倉庫,,西,市道,3.2,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市4区,立花六丁目,132.769512,33.825663,2.0,[np.float64(3.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,谷町,15000000,,,120,125000.0,ほぼ長方形,10.2,95.0,1984年,木造,住宅,,西,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市8区,玉谷町,132.844709,33.89454,6.0,[np.float64(17.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,道後喜多町,29000000,,４ＬＤＫ,85,341176.4705882353,,,,2003年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2008年第1四半期,未改装,,松山市3区,道後喜多町,132.781197,33.851331,1.0,[np.float64(9.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,道後緑台,7000000,,,85,82352.94117647059,長方形,5.5,100.0,1991年,軽量鉄骨造,住宅,,東,道路,3.1,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市3区,道後緑台,132.78119,33.853353,1.0,[np.float64(9.0)],2008
