k,num_links,elapsed_time,max_memory_gb,memo,,k,num_links,elapsed_time,max_memory_gb
8,90,,,Timeout,,,,,
8,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
10,90,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
4,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
6,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
8,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
10,100,,,Timeout,,,,,
