origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
6,7,44186.62693725351,999999,6,5,1
4,7,44191.99916903722,999999,1,8,1
5,2,44191.99916903722,999999,6,3,1
5,0,44195.7356938442,999999,1,3,1
1,4,44198.378840724974,999999,6,1,1
2,7,44198.378840724974,999999,6,2,1
5,8,44201.63553094628,999999,0,3,1
5,5,44202.277739441466,999999,4,7,1
5,0,44202.83731035262,999999,2,1,1
5,5,44202.83731035262,999999,0,1,1
5,5,44204.85252515384,6,6,1,1
6,1,44205.08010980824,999999,2,4,1
8,6,44206.37474915157,5,1,999999,1
5,1,44206.44060198057,0,5,999999,1
6,4,44206.44060198057,999999,1,6,1
5,6,44209.34695513777,999999,8,5,1
6,2,44209.34695513777,999999,0,0,1
5,5,44209.59758189513,6,999999,3,1
4,6,44215.589785866905,999999,6,1,1
5,3,44215.589785866905,999999,5,6,1
6,6,44216.632555364595,999999,1,1,1
6,8,44216.632555364595,2,999999,0,1
8,3,44216.632555364595,999999,2,3,1
8,5,44216.632555364595,999999,8,0,1
6,0,44217.754760886324,999999,1,6,1
1,6,44219.864206451435,999999,5,0,1
4,1,44219.864206451435,999999,8,0,1
1,0,44221.970575529354,6,999999,8,1
6,7,44221.970575529354,999999,1,5,1
5,5,44235.36727866194,999999,2,0,1
6,3,44235.36727866194,1,999999,4,1
6,4,44235.36727866194,999999,5,6,1
6,6,44236.729417565955,999999,5,5,1
1,6,44236.75693133431,6,999999,5,1
5,3,44249.05670552968,999999,1,6,1
8,5,44253.027005556636,999999,999999,6,1
8,7,44253.027005556636,999999,6,6,1
1,1,44257.03527132678,999999,6,1,1
8,3,44257.03527132678,999999,1,1,1
1,4,44259.70356266687,7,999999,6,1
5,6,44260.851384301255,999999,5,3,1
6,0,44260.851384301255,999999,1,5,1
6,6,44262.09063552519,999999,7,6,1
5,1,44263.90664121143,999999,3,8,1
5,5,44263.90664121143,999999,0,3,1
6,4,44267.30383855545,6,999999,0,1
6,6,44267.30383855545,999999,4,3,1
4,6,44268.173422643165,5,999999,6,1
5,3,44268.173422643165,6,999999,4,1
8,5,44268.173422643165,999999,2,2,1
6,1,44269.35863044064,999999,6,3,1
4,6,44279.46505404277,999999,2,5,1
5,5,44280.04328568226,0,2,999999,1
5,6,44280.04328568226,999999,6,3,1
6,5,44280.04328568226,0,999999,8,1
4,5,44280.99458577855,999999,8,6,1
5,2,44280.99458577855,999999,3,0,1
8,8,44280.99458577855,999999,3,6,1
5,2,44286.44267297469,999999,4,3,1
8,3,44286.44267297469,5,999999,0,1
5,3,44310.18408735146,5,4,999999,1
8,3,44310.18408735146,999999,2,1,1
6,6,44310.791822660925,999999,0,8,1
